Id,Label,timeset,d1,d2
4482,4482,,-3.758974,-38.585295
2107,2107,,-3.7438,-38.525468
5457,5457,,-3.710024,-38.593168
990,990,,-3.723113,-38.53983
690,690,,-3.821958,-38.554794
569,569,,-3.808502,-38.588439
845,845,,-3.811458,-38.589842
5920,5920,,-3.820494,-38.608659
4385,4385,,-3.74706,-38.542117
2507,2507,,-3.752787,-38.513367
375,375,,-3.784556,-38.496822
3992,3992,,-3.813968,-38.627632
285,285,,-3.781969,-38.555943
2021,2021,,-3.742305,-38.565999
2866,2866,,-3.765038,-38.576982
2644,2644,,-3.723587,-38.481011
5512,5512,,-3.739911,-38.480281
492,492,,-3.793621,-38.534689
5129,5129,,-3.827315,-38.554483
1122,1122,,-3.832222,-38.555953
1178,1178,,-3.840529,-38.558614
6269,6269,,-3.73408,-38.556991
6272,6272,,-3.735691,-38.564613
2424,2424,,-3.750241,-38.532108
2373,2373,,-3.748941,-38.549205
850,850,,-3.816466,-38.59072
4198,4198,,-3.770402,-38.482583
5403,5403,,-3.859431,-38.501342
1195,1195,,-3.834844,-38.498622
1367,1367,,-3.772082,-38.605156
1692,1692,,-3.728547,-38.534931
1623,1623,,-3.78006,-38.568945
4982,4982,,-3.733183,-38.532392
5580,5580,,-3.724551,-38.532053
1015,1015,,-3.724507,-38.535456
693,693,,-3.824351,-38.556326
2148,2148,,-3.736581,-38.498588
6119,6119,,-3.737692,-38.585021
2746,2746,,-3.759207,-38.578353
2340,2340,,-3.75256,-38.563109
1084,1084,,-3.782526,-38.480963
3018,3018,,-3.767748,-38.497238
2728,2728,,-3.761221,-38.584129
1747,1747,,-3.728995,-38.515586
5994,5994,,-3.783106,-38.507781
1941,1941,,-3.782775,-38.60761
800,800,,-3.723664,-38.586736
2837,2837,,-3.760761,-38.546439
SQ,SQ,,-3.789877,-38.586774
931,931,,-3.721079,-38.561856
1599,1599,,-3.731284,-38.535768
4247,4247,,-3.717748,-38.55654
1779,1779,,-3.731787,-38.505611
1722,1722,,-3.733844,-38.532712
737,737,,-3.826605,-38.481698
3597,3597,,-3.816504,-38.613872
6255,6255,,-3.746521,-38.539708
4251,4251,,-3.723766,-38.537723
3244,3244,,-3.775042,-38.481824
4975,4975,,-3.73102,-38.53514
1764,1764,,-3.735974,-38.517067
1379,1379,,-3.766592,-38.597066
1133,1133,,-3.82824,-38.484995
749,749,,-3.826575,-38.480169
1756,1756,,-3.735066,-38.524349
1752,1752,,-3.733529,-38.524221
2185,2185,,-3.737632,-38.483444
265,265,,-3.716952,-38.558546
4278,4278,,-3.835696,-38.591927
4894,4894,,-3.785743,-38.52308
5508,5508,,-3.732025,-38.526377
292,292,,-3.785753,-38.551124
5189,5189,,-3.799968,-38.570807
1354,1354,,-3.767908,-38.608538
2903,2903,,-3.766978,-38.555217
4404,4404,,-3.788846,-38.489238
3431,3431,,-3.817268,-38.497502
4941,4941,,-3.786642,-38.54985
3127,3127,,-3.802455,-38.528988
3335,3335,,-3.77096,-38.486257
520,520,,-3.795565,-38.461965
2646,2646,,-3.726164,-38.478973
1221,1221,,-3.724091,-38.520148
1918,1918,,-3.742914,-38.594272
4766,4766,,-3.732192,-38.542682
6140,6140,,-3.764467,-38.538533
2980,2980,,-3.772184,-38.534763
3388,3388,,-3.813498,-38.529425
2129,2129,,-3.737342,-38.507621
2897,2897,,-3.766183,-38.559442
1397,1397,,-3.775762,-38.609288
4294,4294,,-3.737222,-38.481164
2487,2487,,-3.752972,-38.516539
2484,2484,,-3.752934,-38.514407
1494,1494,,-3.734872,-38.584082
3246,3246,,-3.774301,-38.480447
1628,1628,,-3.77885,-38.571878
2376,2376,,-3.753772,-38.554421
2067,2067,,-3.744503,-38.545115
2015,2015,,-3.740929,-38.561366
5128,5128,,-3.727183,-38.589733
4379,4379,,-3.757242,-38.543954
229,229,,-3.711547,-38.574702
5194,5194,,-3.736356,-38.541723
4619,4619,,-3.821828,-38.594296
5823,5823,,-3.78946,-38.58698
2409,2409,,-3.753061,-38.540181
3134,3134,,-3.808648,-38.525801
1585,1585,,-3.717945,-38.464344
1265,1265,,-3.725411,-38.48412
442,442,,-3.79308,-38.586835
3243,3243,,-3.776284,-38.481468
3048,3048,,-3.801507,-38.562983
4498,4498,,-3.73775,-38.521782
840,840,,-3.811672,-38.59655
2799,2799,,-3.758027,-38.554561
32,32,,-3.707335,-38.584584
226,226,,-3.712386,-38.571927
2382,2382,,-3.752987,-38.54885
2003,2003,,-3.736734,-38.571707
3962,3962,,-3.743802,-38.53569
2095,2095,,-3.741071,-38.525654
443,443,,-3.791363,-38.587554
6205,6205,,-3.738139,-38.493144
20,20,,-3.7085,-38.590366
1596,1596,,-3.729111,-38.537808
984,984,,-3.722501,-38.541696
4388,4388,,-3.748326,-38.54587
5137,5137,,-3.740039,-38.537918
6236,6236,,-3.746993,-38.497677
2417,2417,,-3.746784,-38.53219
6221,6221,,-3.738132,-38.567406
702,702,,-3.825923,-38.550893
1654,1654,,-3.779786,-38.559977
286,286,,-3.782222,-38.555866
2815,2815,,-3.759705,-38.555894
5294,5294,,-3.727132,-38.533151
2884,2884,,-3.771726,-38.571602
4510,4510,,-3.773809,-38.578945
962,962,,-3.720699,-38.547009
107,107,,-3.712155,-38.597812
4025,4025,,-3.79388,-38.5342
4344,4344,,-3.795256,-38.578259
2825,2825,,-3.756919,-38.543053
2359,2359,,-3.746538,-38.555857
2126,2126,,-3.737819,-38.511554
2952,2952,,-3.767981,-38.535712
4019,4019,,-3.758422,-38.531628
5458,5458,,-3.708385,-38.595109
2165,2165,,-3.744174,-38.500509
2118,2118,,-3.739068,-38.516899
4682,4682,,-3.773785,-38.588774
951,951,,-3.726259,-38.559448
6228,6228,,-3.758176,-38.487021
2617,2617,,-3.79555,-38.494287
2941,2941,,-3.764867,-38.541243
6263,6263,,-3.731304,-38.543319
5143,5143,,-3.733968,-38.492159
4908,4908,,-3.723161,-38.601594
1980,1980,,-3.737909,-38.581002
2479,2479,,-3.753435,-38.518623
735,735,,-3.824038,-38.486536
2383,2383,,-3.751762,-38.548962
2089,2089,,-3.738661,-38.52903
3287,3287,,-3.759183,-38.508154
6168,6168,,-3.737316,-38.584228
1251,1251,,-3.726982,-38.492797
3969,3969,,-3.739409,-38.523375
1767,1767,,-3.730604,-38.510667
5454,5454,,-3.732871,-38.529385
1633,1633,,-3.781124,-38.575028
1992,1992,,-3.737883,-38.577483
3302,3302,,-3.758486,-38.485041
1744,1744,,-3.731812,-38.52211
1716,1716,,-3.735353,-38.534581
2626,2626,,-3.797282,-38.500512
6172,6172,,-3.753431,-38.523622
614,614,,-3.819206,-38.592289
629,629,,-3.795786,-38.49099
6171,6171,,-3.753362,-38.523616
6234,6234,,-3.742944,-38.510695
3882,3882,,-3.741386,-38.509537
2849,2849,,-3.75737,-38.531266
5038,5038,,-3.730137,-38.531827
3300,3300,,-3.757755,-38.488984
3274,3274,,-3.763745,-38.516139
5505,5505,,-3.733484,-38.521785
2018,2018,,-3.740425,-38.55892
426,426,,-3.794199,-38.591703
5822,5822,,-3.789361,-38.586842
5655,5655,,-3.776085,-38.564392
1998,1998,,-3.739306,-38.568826
3364,3364,,-3.81114,-38.544472
4389,4389,,-3.757404,-38.53322
4669,4669,,-3.725301,-38.598418
538,538,,-3.804962,-38.601983
1618,1618,,-3.774446,-38.57403
2377,2377,,-3.754297,-38.554612
4360,4360,,-3.759522,-38.511566
5034,5034,,-3.744722,-38.534061
1643,1643,,-3.773134,-38.563774
2974,2974,,-3.768816,-38.530752
1635,1635,,-3.778956,-38.578033
5085,5085,,-3.756563,-38.522073
3874,3874,,-3.763266,-38.558115
780,780,,-3.725245,-38.596823
4517,4517,,-3.750094,-38.559835
4381,4381,,-3.751046,-38.55091
547,547,,-3.803273,-38.590335
1233,1233,,-3.722312,-38.508188
CC,CC,,-3.77292,-38.607601
2690,2690,,-3.755489,-38.595643
6270,6270,,-3.734575,-38.55919
2366,2366,,-3.75122,-38.550846
1332,1332,,-3.764239,-38.614783
5142,5142,,-3.742213,-38.486077
5733,5733,,-3.792072,-38.599282
5192,5192,,-3.760862,-38.557093
5002,5002,,-3.722295,-38.529642
3437,3437,,-3.809599,-38.489821
4607,4607,,-3.808257,-38.490225
2413,2413,,-3.753839,-38.537316
1768,1768,,-3.729904,-38.512795
4856,4856,,-3.746729,-38.547357
267,267,,-3.716262,-38.560623
336,336,,-3.789785,-38.542374
6266,6266,,-3.733233,-38.552975
668,668,,-3.820567,-38.559828
4678,4678,,-3.796997,-38.508375
2160,2160,,-3.741965,-38.500332
3678,3678,,-3.835512,-38.524896
666,666,,-3.821674,-38.558527
1661,1661,,-3.774782,-38.554346
588,588,,-3.805997,-38.57301
5033,5033,,-3.737203,-38.5291
2612,2612,,-3.795514,-38.495892
2611,2611,,-3.795338,-38.495435
5037,5037,,-3.733899,-38.539096
2658,2658,,-3.747352,-38.470229
283,283,,-3.714279,-38.546758
2207,2207,,-3.742506,-38.484533
1435,1435,,-3.730546,-38.603297
4397,4397,,-3.772402,-38.471739
4727,4727,,-3.732515,-38.526741
5145,5145,,-3.78139,-38.575883
1477,1477,,-3.730884,-38.584778
1234,1234,,-3.721692,-38.509171
2795,2795,,-3.763023,-38.566228
4427,4427,,-3.784177,-38.582697
3469,3469,,-3.783291,-38.626108
3333,3333,,-3.771599,-38.482727
3162,3162,,-3.803071,-38.488545
3438,3438,,-3.809952,-38.489318
2713,2713,,-3.757644,-38.584599
2873,2873,,-3.763992,-38.575976
2665,2665,,-3.748003,-38.462106
138,138,,-3.711278,-38.589562
2928,2928,,-3.769387,-38.555405
4227,4227,,-3.799106,-38.579018
2720,2720,,-3.757803,-38.580964
6267,6267,,-3.733692,-38.554831
1976,1976,,-3.740046,-38.587267
3619,3619,,-3.824734,-38.516432
1312,1312,,-3.762939,-38.609576
1977,1977,,-3.738695,-38.583279
4718,4718,,-3.722496,-38.530345
1783,1783,,-3.732406,-38.505158
2806,2806,,-3.756177,-38.552953
148,148,,-3.714242,-38.588662
1780,1780,,-3.732816,-38.508997
2870,2870,,-3.764075,-38.578769
1052,1052,,-3.776563,-38.616175
433,433,,-3.797549,-38.595351
4940,4940,,-3.774125,-38.558387
2282,2282,,-3.752739,-38.582754
1990,1990,,-3.743132,-38.584856
3260,3260,,-3.77302,-38.469262
3169,3169,,-3.805482,-38.479252
1693,1693,,-3.731125,-38.531572
1629,1629,,-3.778966,-38.571662
2816,2816,,-3.759803,-38.556167
6078,6078,,-3.776365,-38.563178
4771,4771,,-3.728354,-38.569048
1632,1632,,-3.780219,-38.574055
1268,1268,,-3.724646,-38.482207
4259,4259,,-3.737403,-38.574255
1733,1733,,-3.732149,-38.52662
1396,1396,,-3.775608,-38.609259
970,970,,-3.725147,-38.55355
4506,4506,,-3.832114,-38.492935
5909,5909,,-3.743707,-38.536013
246,246,,-3.710037,-38.563748
3161,3161,,-3.80315,-38.488396
3524,3524,,-3.802178,-38.507502
4143,4143,,-3.719086,-38.605722
2081,2081,,-3.741374,-38.538448
255,255,,-3.718129,-38.566141
964,964,,-3.720084,-38.548903
2792,2792,,-3.757056,-38.559819
2915,2915,,-3.766296,-38.54995
2828,2828,,-3.755786,-38.545713
2214,2214,,-3.741764,-38.481397
4818,4818,,-3.744166,-38.478524
3685,3685,,-3.831629,-38.523305
3104,3104,,-3.80138,-38.537417
4503,4503,,-3.783566,-38.554025
2041,2041,,-3.738644,-38.550189
6125,6125,,-3.7706,-38.570254
1988,1988,,-3.741225,-38.584951
5319,5319,,-3.736133,-38.571195
1608,1608,,-3.734472,-38.536676
2453,2453,,-3.752516,-38.52547
1055,1055,,-3.774302,-38.615762
2482,2482,,-3.754265,-38.520237
3319,3319,,-3.766682,-38.514612
